epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,168.217,2.3012,1.3545,1.28153,0.70015,0.4908,0.51883,0.177,2.35814,1.38423,1.47339,0.001527,0.001527,0.001527
45,171.87,2.28767,1.36034,1.30175,0.68016,0.56051,0.57784,0.18811,2.39614,1.36038,1.47597,0.001516,0.001516,0.001516
46,175.496,2.21371,1.32199,1.29464,0.62559,0.55414,0.55282,0.18442,2.3804,1.37517,1.52046,0.001505,0.001505,0.001505
47,179.157,2.17745,1.31013,1.27842,0.67611,0.52866,0.56584,0.18598,2.38641,1.32233,1.49779,0.001494,0.001494,0.001494
48,182.802,2.30682,1.35051,1.27845,0.59327,0.47771,0.4863,0.18006,2.31024,1.39118,1.46825,0.001483,0.001483,0.001483
49,186.549,2.25661,1.34245,1.31084,0.65686,0.50955,0.54195,0.18518,2.35813,1.34149,1.47285,0.001472,0.001472,0.001472
50,190.152,2.2118,1.35328,1.30305,0.61335,0.485,0.51964,0.19367,2.30588,1.36351,1.43305,0.001461,0.001461,0.001461
51,193.842,2.20889,1.33768,1.28859,0.60825,0.55414,0.55255,0.19407,2.36684,1.37202,1.46657,0.00145,0.00145,0.00145
52,197.514,2.21322,1.30696,1.2994,0.59882,0.5229,0.52637,0.19595,2.30591,1.35685,1.43775,0.001439,0.001439,0.001439
53,201.185,2.26503,1.34397,1.29951,0.69698,0.48348,0.53206,0.1821,2.35334,1.35506,1.43827,0.001428,0.001428,0.001428
54,204.839,2.19366,1.32889,1.31109,0.63964,0.58599,0.58156,0.19439,2.33582,1.29605,1.41271,0.001417,0.001417,0.001417
55,208.752,2.17374,1.27179,1.29136,0.68739,0.58599,0.59434,0.19476,2.30426,1.28633,1.41699,0.001406,0.001406,0.001406
56,212.678,2.17823,1.31696,1.32071,0.67415,0.56664,0.60234,0.20903,2.3429,1.30395,1.44241,0.001395,0.001395,0.001395
57,216.619,2.17325,1.31582,1.30118,0.5879,0.56051,0.56478,0.20704,2.30017,1.30778,1.41367,0.001384,0.001384,0.001384
58,220.338,2.2228,1.3363,1.31196,0.61382,0.56695,0.55818,0.20544,2.31833,1.31395,1.43716,0.001373,0.001373,0.001373
59,224.035,2.14636,1.27482,1.28557,0.59197,0.56371,0.5367,0.19552,2.33537,1.34088,1.40554,0.001362,0.001362,0.001362
60,227.704,2.06277,1.26724,1.23832,0.68863,0.57325,0.60123,0.20909,2.313,1.2628,1.44255,0.001351,0.001351,0.001351
61,231.359,2.14761,1.2266,1.24433,0.69925,0.61146,0.6204,0.21302,2.34065,1.25256,1.45182,0.00134,0.00134,0.00134
62,235.284,2.09566,1.29704,1.30163,0.62859,0.56051,0.57545,0.20523,2.29502,1.27672,1.41,0.001329,0.001329,0.001329
63,238.949,2.15687,1.31672,1.29288,0.70757,0.57962,0.59669,0.20617,2.29138,1.26931,1.42826,0.001318,0.001318,0.001318
